time,pump,command
2023-11-15-10-21-01,3,1
2023-11-15-10-21-01,1,1
2023-11-15-10-21-01,2,1
2023-11-15-11-04-31,1,1
2023-11-15-11-04-31,2,1
2023-11-15-11-04-01,3,1
2023-11-15-11-06-00,1,1
2023-11-15-11-06-00,2,1
2023-11-15-10-24-01,4,0
2023-11-15-11-07-01,4,0
2023-11-15-11-07-01,1,0
2023-11-15-11-07-01,2,0
2023-11-15-11-06-01,3,1
2023-11-15-11-11-01,1,0
2023-11-15-11-11-01,2,0
2023-11-15-11-09-01,4,0
2023-11-15-12-17-00,1,0
2023-11-15-12-14-00,3,1
2023-11-15-12-49-01,1,1
2023-11-15-15-23-30,1,1
2023-11-15-15-26-01,1,1
2023-11-15-12-17-00,2,0
2023-11-15-15-06-01,3,0
2023-11-15-12-17-01,4,0
2023-11-15-15-26-01,1,0
2023-11-15-15-26-01,2,0
2023-11-15-15-28-31,2,0
2023-11-15-15-26-01,3,0
2023-11-15-15-28-31,3,0
2023-11-15-15-26-01,4,0
2023-11-15-15-28-31,4,0
2023-11-15-15-28-31,1,0
2023-11-15-15-29-01,2,0
2023-11-15-15-29-31,1,0
2023-11-15-15-29-01,4,0
2023-11-15-16-05-01,2,1
2023-11-15-18-00-00,4,1
2023-11-15-17-00-00,1,1
2023-11-15-19-03-01,2,0
2023-11-15-23-03-48,1,0
2023-11-15-15-29-01,3,0
2023-11-16-09-00-00,3,1
2023-11-16-09-55-30,3,1
2023-11-16-09-56-31,3,1
2023-11-16-09-58-02,3,0
2023-11-16-09-59-00,3,0
2023-11-16-10-00-01,3,0
2023-11-16-08-44-30,1,1
2023-11-16-07-00-01,2,1
2023-11-16-10-01-30,3,1
2023-11-15-21-03-00,4,0
2023-11-16-11-23-31,1,1
2023-11-16-11-23-31,2,1
2023-11-16-11-23-31,3,1
2023-11-16-11-26-30,1,1
2023-11-16-11-26-30,2,1
2023-11-16-11-26-30,3,1
2023-11-16-11-27-30,2,1
2023-11-16-11-27-30,3,1
2023-11-16-11-26-31,4,0
2023-11-16-11-29-31,4,0
2023-11-16-11-30-30,4,0
2023-11-16-11-27-30,1,1
2023-11-16-11-28-01,2,1
2023-11-16-11-28-01,3,1
2023-11-16-11-31-01,1,0
2023-11-16-11-31-01,4,0
2023-11-16-11-31-31,3,1
2023-11-16-11-34-31,1,0
2023-11-16-11-31-31,2,1
2023-11-16-11-34-31,4,0
2023-11-16-11-43-01,1,0
2023-11-16-11-43-01,2,0
2023-11-16-11-43-01,4,0
2023-11-16-11-40-01,3,1
2023-11-16-11-44-01,1,0
2023-11-16-11-44-01,2,0
2023-11-16-11-44-01,3,0
2023-11-16-11-44-01,4,0
2023-11-16-11-48-01,3,0
2023-11-16-12-14-30,3,1
2023-11-16-11-48-01,1,0
2023-11-16-11-48-01,2,0
2023-11-16-11-48-01,4,0
2023-11-16-12-18-04,3,1
2023-11-16-12-42-00,3,1
2023-11-16-12-44-31,3,0
2023-11-16-12-21-03,2,0
2023-11-16-12-56-01,2,1
2023-11-16-12-46-31,3,0
2023-11-16-12-21-03,1,0
2023-11-16-13-47-31,2,0
2023-11-16-13-50-01,3,1
2023-11-16-12-21-04,4,0
2023-11-16-13-54-31,1,0
2023-11-16-13-54-31,2,0
2023-11-16-13-54-31,3,0
2023-11-16-13-54-31,4,0
2023-11-16-13-58-00,1,0
2023-11-16-13-58-01,2,0
2023-11-16-13-58-01,3,0
2023-11-16-13-58-01,4,0
2023-11-16-14-04-35,1,0
2023-11-16-14-04-35,2,0
2023-11-16-14-04-36,3,0
2023-11-16-14-04-36,4,0
2023-11-16-14-06-29,2,0
2023-11-16-14-06-29,1,0
2023-11-16-14-06-29,3,0
2023-11-16-14-06-30,4,0
2023-11-16-14-48-33,1,0
2023-11-16-14-48-33,3,0
2023-11-16-14-48-33,4,0
2023-11-16-14-45-33,2,1
2023-11-16-14-49-33,1,0
2023-11-16-14-49-33,2,0
2023-11-16-14-49-33,3,0
2023-11-16-14-49-34,4,0
2023-11-16-14-57-35,1,0
2023-11-16-16-00-02,1,1
2023-11-16-14-57-35,2,0
2023-11-16-18-45-35,1,1
2023-11-16-18-45-35,2,1
2023-11-16-18-46-00,1,1
2023-11-16-18-46-00,2,1
2023-11-16-14-57-35,3,0
2023-11-16-18-48-36,3,0
2023-11-16-14-57-35,4,0
2023-11-16-18-48-36,4,0
2023-11-16-18-49-00,3,0
2023-11-16-18-49-00,4,0
2023-11-16-18-46-32,2,1
2023-11-16-18-46-32,1,1
2023-11-16-19-59-02,1,0
2023-11-16-20-00-02,1,1
2023-11-16-19-03-02,2,0
2023-11-16-18-49-33,3,0
2023-11-17-10-00-02,3,1
2023-11-17-11-27-02,3,1
2023-11-17-11-27-32,3,0
2023-11-17-08-00-02,2,1
2023-11-17-11-31-02,3,0
2023-11-16-23-03-03,1,0
2023-11-17-13-40-02,3,1
2023-11-17-12-12-02,2,0
2023-11-17-14-07-32,1,1
2023-11-17-16-44-02,1,0
2023-11-17-16-27-02,2,1
2023-11-17-14-33-32,3,0
2023-11-16-18-49-33,4,0
2023-11-17-18-09-06,1,0
2023-11-17-19-47-02,1,1
2023-11-17-20-03-03,1,0
2023-11-17-18-09-06,2,0
2023-11-17-18-09-06,3,0
2023-11-17-18-09-06,4,0
2023-11-17-21-18-35,1,0
