time,command
2023-11-18-23-00-30,0
2023-11-19-00-00-00,1
2023-11-19-00-29-01,0
2023-11-19-11-58-01,1
2023-11-19-23-00-01,0
2023-11-20-05-00-06,1
2023-11-20-23-00-01,0
2023-11-21-07-00-03,1
2023-11-21-23-00-05,0
2023-11-22-07-00-05,1
2023-11-22-08-17-06,1
2023-11-22-10-47-33,0
2023-11-22-11-14-03,1
2023-11-22-14-24-33,0
2023-11-22-15-00-02,1
2023-11-22-16-34-07,1
2023-11-22-18-55-06,1
2023-11-22-19-18-03,0
2023-11-22-19-33-02,1
2023-11-22-21-50-31,0
2023-11-22-22-14-02,1
2023-11-22-22-31-31,0
2023-11-23-07-00-03,1
2023-11-23-09-23-33,0
2023-11-23-10-00-03,1
2023-11-23-13-39-02,0
2023-11-23-14-51-02,1
2023-11-23-15-29-03,0
2023-11-23-15-29-33,1
2023-11-23-15-51-35,1
2023-11-23-18-19-32,0
2023-11-23-22-24-03,1
2023-11-23-23-00-02,0
2023-11-24-08-00-02,1
2023-11-24-17-32-33,0
2023-11-24-19-00-03,1
2023-11-24-19-09-35,1
2023-11-24-19-32-02,0
2023-11-24-19-59-02,1
2023-11-24-20-09-03,0
2023-11-24-20-33-02,1
2023-11-24-21-04-32,0
2023-11-25-10-00-02,1
2023-11-25-13-19-36,1
2023-11-25-20-34-02,0
2023-11-25-20-34-33,1
2023-11-25-20-37-32,0
2023-11-25-22-21-32,1
2023-11-25-23-00-02,0
2023-11-26-10-00-02,1
2023-11-26-15-51-35,1
2023-11-26-23-00-02,0
2023-11-27-02-00-02,1
2023-11-27-11-45-09,1
2023-11-27-23-00-03,0
2023-11-28-08-00-03,1
2023-11-28-13-55-02,0
2023-11-28-14-00-02,1
2023-11-28-18-07-06,1
2023-11-28-23-00-03,0
2023-11-29-06-00-03,1
2023-11-29-06-49-32,0
2023-11-29-07-41-03,1
2023-11-29-23-00-03,0
2023-11-30-06-00-04,1
2023-11-30-06-42-34,0
2023-11-30-07-43-02,1
2023-11-30-18-32-05,1
2023-11-30-19-00-03,0
2023-11-30-19-57-03,1
2023-11-30-20-16-02,0
2023-11-30-22-14-02,1
2023-11-30-23-00-02,0
2023-12-01-07-00-02,1
2023-12-01-08-50-35,1
2023-12-01-20-13-03,0
2023-12-01-22-00-03,1
2023-12-01-23-00-03,0
2023-12-02-10-00-03,1
2023-12-02-16-17-33,0
2023-12-02-16-29-33,1
2023-12-02-17-13-03,0
2023-12-02-17-23-32,1
2023-12-02-23-01-33,0
2023-12-03-04-39-03,1
2023-12-03-05-24-32,0
2023-12-03-07-46-03,1
2023-12-03-08-28-32,0
2023-12-03-10-00-04,1
2023-12-03-23-00-04,0
2023-12-04-01-00-04,1
2023-12-04-01-32-32,0
2023-12-04-02-50-04,1
2023-12-04-03-29-04,0
2023-12-04-03-49-32,1
2023-12-04-04-28-04,0
2023-12-04-05-18-04,1
2023-12-04-23-00-05,0
2023-12-05-05-00-03,1
2023-12-05-05-31-04,0
2023-12-05-06-42-05,1
2023-12-05-13-43-03,0
2023-12-05-13-45-03,1
2023-12-05-23-00-03,0
2023-12-06-06-00-02,1
2023-12-06-13-46-05,1
