timestamp,temp,humidity,wind speed,coco
2024-08-11-10-00-00,27.6,48,7.4,2
2024-08-11-11-00-00,29.4,42,9.3,2
2024-08-11-12-00-00,30.1,40,11.1,2
2024-08-11-13-00-00,31.1,37,13.0,2
2024-08-11-14-00-00,31.9,35,13.0,2
2024-08-11-15-00-00,32.6,33,14.8,2
2024-08-11-16-00-00,33.1,32,14.8,2
2024-08-11-17-00-00,33.1,32,14.8,2
2024-08-11-18-00-00,32.2,34,13.0,2
2024-08-11-19-00-00,31.5,35,11.1,2
2024-08-11-20-00-00,30.0,39,9.3,2
2024-08-11-21-00-00,28.2,45,7.4,2
2024-08-11-22-00-00,26.4,51,7.4,2
2024-08-11-23-00-00,25.1,56,7.4,1
2024-08-12-00-00-00,23.6,62,5.5,1
2024-08-12-01-00-00,23.0,64,5.5,1
2024-08-12-02-00-00,22.5,64,7.4,1
2024-08-12-03-00-00,21.6,67,9.3,1
2024-08-12-04-00-00,20.8,69,9.3,1
2024-08-12-05-00-00,20.3,72,9.3,2
2024-08-12-06-00-00,20.3,72,9.3,2
2024-08-12-07-00-00,21.5,66,9.3,2
2024-08-12-08-00-00,23.1,60,11.1,2
2024-08-12-09-00-00,23.9,57,11.1,2
2024-08-12-10-00-00,25.9,51,11.1,2
2024-08-12-11-00-00,27.8,46,9.3,2
2024-08-12-12-00-00,28.6,46,7.4,2
2024-08-12-13-00-00,30.0,42,9.3,2
2024-08-12-14-00-00,31.4,39,7.4,2
2024-08-12-15-00-00,32.4,36,7.4,2
2024-08-12-16-00-00,33.4,34,7.4,2
2024-08-12-17-00-00,33.7,34,7.4,2
2024-08-12-18-00-00,33.5,35,7.4,2
2024-08-12-19-00-00,32.4,38,9.3,2
2024-08-12-20-00-00,30.8,43,7.4,2
2024-08-12-21-00-00,28.7,50,5.5,2
2024-08-12-22-00-00,27.1,55,5.5,2
2024-08-12-23-00-00,25.7,61,5.5,2
2024-08-13-00-00-00,24.3,69,7.4,1
2024-08-13-01-00-00,23.7,70,7.4,1
2024-08-13-02-00-00,23.4,69,7.4,1
2024-08-13-03-00-00,22.5,72,7.4,1
2024-08-13-04-00-00,22.0,72,7.4,1
2024-08-13-05-00-00,21.4,75,7.4,2
2024-08-13-06-00-00,21.1,76,9.3,2
2024-08-13-07-00-00,22.7,69,9.3,2
2024-08-13-08-00-00,24.5,61,11.1,2
2024-08-13-09-00-00,25.6,57,11.1,2
2024-08-13-10-00-00,27.7,50,11.1,2
2024-08-13-11-00-00,29.8,44,9.3,2
2024-08-13-12-00-00,30.3,44,9.3,2
2024-08-13-13-00-00,31.7,40,7.4,2
2024-08-13-14-00-00,33.1,36,7.4,2
2024-08-13-15-00-00,33.9,34,9.3,2
2024-08-13-16-00-00,34.6,32,9.3,2
2024-08-13-17-00-00,34.3,32,11.1,2
2024-08-13-18-00-00,34.5,32,9.3,2
2024-08-13-19-00-00,33.0,36,9.3,2
2024-08-13-20-00-00,30.9,41,9.3,2
